Country,Year,Month,Branch,Position,Name,Status,Gender,File,CIA Updated,Created
Afghanistan,2020,July,NA,Pres.,Ashraf GHANI,Titular,NA,July2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,July,NA,CEO,"Abdullah ABDULLAH, Dr.",Titular,NA,July2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,July,NA,First Vice Pres.,Abdul Rashid DOSTAM,Titular,NA,July2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,July,NA,Second Vice Pres.,Sarwar DANESH,Titular,NA,July2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,July,NA,First Deputy CEO,Khyal Mohammad KHAN,Titular,NA,July2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,July,NA,"Min. of Agriculture, Irrigation, & Livestock",Nasir Ahmad DURRANI,Titular,NA,July2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,July,NA,Min. of Border & Tribal Affairs,Gul Agha SHERZAI,Titular,NA,July2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,July,NA,Min. of Commerce & Industry,Ajmal AHMADY (Acting),Acting,NA,July2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,July,NA,Min. of Counternarcotics,Salamat AZIMI,Titular,NA,July2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,July,NA,Min. of Defense,Asadullah KHALID (Acting),Acting,NA,July2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,July,NA,Min. of Economy,Mohammad Mustafa MASTOOR,Titular,NA,July2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,July,NA,Min. of Education,Mohammad Mirwais BALKHI (Acting),Acting,NA,July2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,July,NA,Min. of Energy & Water,Tahir SHARAN (Acting),Acting,NA,July2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,July,NA,Min. of Finance,Mohammad Humayun QAYOUMI (Acting),Acting,NA,July2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,July,NA,Min. of Foreign Affairs,Salahuddin RABBANI,Titular,NA,July2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,July,NA,Min. of Hajj & Islamic Affairs,Faiz Mohammad OSMANI,Titular,NA,July2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,July,NA,Min. of Higher Education,Abdul Tawab BALAKARZAI (Acting),Acting,NA,July2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,July,NA,Min. of Information & Culture,Hasina SAFI (Acting),Acting,NA,July2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,July,NA,Min. of Interior,Mohammad Masood ANDARABI (Acting),Acting,NA,July2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
