Country,Year,Month,Branch,Position,Name,Status,Gender,File,CIA Updated,Created
Afghanistan,2020,June,NA,Pres.,Ashraf GHANI,Titular,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,CEO,"Abdullah ABDULLAH, Dr.",Titular,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,First Vice Pres.,Abdul Rashid DOSTAM,Titular,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,Second Vice Pres.,Sarwar DANESH,Titular,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,First Deputy CEO,Khyal Mohammad KHAN,Titular,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,"Min. of Agriculture, Irrigation, & Livestock",Nasir Ahmad DURRANI,Titular,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,Min. of Border & Tribal Affairs,Gul Agha SHERZAI,Titular,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,Min. of Commerce & Industry,Ajmal AHMADY (Acting),Acting,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,Min. of Counternarcotics,Salamat AZIMI,Titular,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,Min. of Defense,Asadullah KHALID (Acting),Acting,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,Min. of Economy,Mohammad Mustafa MASTOOR,Titular,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,Min. of Education,Mohammad Mirwais BALKHI (Acting),Acting,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,Min. of Energy & Water,Tahir SHARAN (Acting),Acting,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,Min. of Finance,Mohammad Humayun QAYOUMI (Acting),Acting,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,Min. of Foreign Affairs,Salahuddin RABBANI,Titular,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,Min. of Hajj & Islamic Affairs,Faiz Mohammad OSMANI,Titular,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,Min. of Higher Education,Abdul Tawab BALAKARZAI (Acting),Acting,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,Min. of Information & Culture,Hasina SAFI (Acting),Acting,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,Min. of Interior,Mohammad Masood ANDARABI (Acting),Acting,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,Min. of Justice,Abdul Basir ANWAR,Titular,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,"Min. of Martyred, Disabled, Labor, & Social Affairs",Sayed Anwar SADAT (Acting),Acting,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,Min. of Mines & Petroleum,Nargis NEHAN (Acting),Acting,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,Min. of Parliamentary Affairs,Faruq WARDAK,Titular,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,Min. of Public Health,Ferozuddin FEROZ,Titular,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,Min. of Refugees & Repatriation,Sayed Hussain Alemi BALKHI,Titular,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,Min. of Rural Rehabilitation & Development,Mujib Rahman KARIMI,Titular,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,Min. of Telecommunication & Information Technology,Fahim HASHEMI (Acting),Acting,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,Min. of Tourism,Ghulam Nabi FARAHI,Titular,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,Min. of Transport,Yama YARI,Titular,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,Min. of Urban Development,Jawad PIKAR (Acting),Acting,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,Min. of Women's Affairs,Dilbar NAZARI,Titular,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,Attorney General,Mohammad Farid HAMIDI,Titular,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,National Security Adviser,Hamdullah MOHIB,Titular,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,"Dir. Gen., National Directorate of Security",Mohammad Masoom STANEKZAI,Titular,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,June,NA,"Dir. Gen., Independent Directorate for Local Governance",Abdul Matin BEK,Titular,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
