Country,Year,Month,Branch,Position,Name,Status,Gender,File,CIA Updated,Created
Afghanistan,2020,May,NA,Pres.,Ashraf GHANI,Titular,NA,May2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,May,NA,CEO,"Abdullah ABDULLAH, Dr.",Titular,NA,May2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,May,NA,First Vice Pres.,Abdul Rashid DOSTAM,Titular,NA,May2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,May,NA,Second Vice Pres.,Sarwar DANESH,Titular,NA,May2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,May,NA,First Deputy CEO,Khyal Mohammad KHAN,Titular,NA,May2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,May,NA,"Min. of Agriculture, Irrigation, & Livestock",Nasir Ahmad DURRANI,Titular,NA,May2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,May,NA,Min. of Border & Tribal Affairs,Gul Agha SHERZAI,Titular,NA,May2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,May,NA,Min. of Commerce & Industry,Ajmal AHMADY (Acting),Acting,NA,May2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,May,NA,Min. of Counternarcotics,Salamat AZIMI,Titular,NA,May2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,May,NA,Min. of Defense,Asadullah KHALID (Acting),Acting,NA,May2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,May,NA,Min. of Economy,Mohammad Mustafa MASTOOR,Titular,NA,May2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,May,NA,Min. of Education,Mohammad Mirwais BALKHI (Acting),Acting,NA,May2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,May,NA,Min. of Energy & Water,Tahir SHARAN (Acting),Acting,NA,May2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,May,NA,Min. of Finance,Mohammad Humayun QAYOUMI (Acting),Acting,NA,May2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,May,NA,Min. of Foreign Affairs,Salahuddin RABBANI,Titular,NA,May2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,May,NA,Min. of Hajj & Islamic Affairs,Faiz Mohammad OSMANI,Titular,NA,May2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
