Country,Year,Month,Branch,Position,Name,Status,Gender,File,CIA Updated,Created
Afghanistan,2020,September,NA,Pres.,Ashraf GHANI,Titular,NA,September2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,September,NA,CEO,"Abdullah ABDULLAH, Dr.",Titular,NA,September2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,September,NA,First Vice Pres.,Abdul Rashid DOSTAM,Titular,NA,September2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,September,NA,Second Vice Pres.,Sarwar DANESH,Titular,NA,September2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,September,NA,First Deputy CEO,Khyal Mohammad KHAN,Titular,NA,September2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,September,NA,"Min. of Agriculture, Irrigation, & Livestock",Nasir Ahmad DURRANI,Titular,NA,September2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,September,NA,Min. of Border & Tribal Affairs,Gul Agha SHERZAI,Titular,NA,September2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,September,NA,Min. of Commerce & Industry,Ajmal AHMADY (Acting),Acting,NA,September2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,September,NA,Min. of Counternarcotics,Salamat AZIMI,Titular,NA,September2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,September,NA,Min. of Defense,Asadullah KHALID (Acting),Acting,NA,September2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,September,NA,Min. of Economy,Mohammad Mustafa MASTOOR,Titular,NA,September2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,September,NA,Min. of Education,Mohammad Mirwais BALKHI (Acting),Acting,NA,September2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,September,NA,Min. of Energy & Water,Tahir SHARAN (Acting),Acting,NA,September2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,September,NA,Min. of Finance,Mohammad Humayun QAYOUMI (Acting),Acting,NA,September2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,September,NA,Min. of Foreign Affairs,Salahuddin RABBANI,Titular,NA,September2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,September,NA,Min. of Hajj & Islamic Affairs,Faiz Mohammad OSMANI,Titular,NA,September2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,September,NA,Min. of Higher Education,Abdul Tawab BALAKARZAI (Acting),Acting,NA,September2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,September,NA,Min. of Information & Culture,Hasina SAFI (Acting),Acting,NA,September2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,September,NA,Min. of Interior,Mohammad Masood ANDARABI (Acting),Acting,NA,September2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,September,NA,Min. of Justice,Abdul Basir ANWAR,Titular,NA,September2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,September,NA,"Min. of Martyred, Disabled, Labor, & Social Affairs",Sayed Anwar SADAT (Acting),Acting,NA,September2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
