First Name,ga_first_name,ga_gender,ga_accuracy,ga_samples
Ashraf,Ashraf,male,100,16
Abdullah,Abdullah,male,99,154
Abdul Rashid,Abdul Rashid,male,100,2
Sarwar,Sarwar,male,100,10
Khyal Mohammad,Mohammad,male,98,365
Nasir Ahmad,Nasir Ahmad,male,100,14
Gul Agha,Gul Agha,male,92,24
Ajmal,Ajmal,male,98,119
Salamat,Salamat,male,75,4
Asadullah,Asadullah,male,98,56
Mohammad Mustafa,Mohammad Mustafa,male,100,10
Mohammad Mirwais,Mohammad Mirwais,male,99,457
Tahir,Tahir,male,100,16
Mohammad Humayun,Mohammad Humayun,male,98,373
Salahuddin,Salahuddin,male,100,9
Faiz Mohammad,Faiz Mohammad,male,98,377
Abdul Tawab,Abdul Tawab,male,98,213
Hasina,Hasina,female,100,6
Mohammad Masood,Mohammad Masood,male,99,413
Abdul Basir,Abdul Basir,male,100,8
Sayed Anwar,Sayed Anwar,male,99,164
Nargis,Nargis,female,100,11
Faruq,Faruq,male,75,4
Ferozuddin,Ferozuddin,male,100,3
Sayed Hussain Alemi,Sayed Hussain,male,99,190
Mujib Rahman,Mujib Rahman,male,95,20
Fahim,Fahim,male,97,92
Ghulam Nabi,Ghulam Nabi,male,100,2
Yama,Yama,male,100,56
Jawad,Jawad,male,100,76
Dilbar,Dilbar,male,56,86
Mohammad Farid,Mohammad Farid,male,99,470
Hamdullah,Hamdullah,male,100,3
Mohammad Masoom,Mohammad,male,98,365
Abdul Matin,Abdul Matin,male,100,5
NA,Na,unknown,50,2
Roya,Roya,female,86,7
Adela,Adela,female,100,6
Ilir,Ilir,male,97,727
Edi,Edi,male,97,385
Senida,Senida,female,98,42
Niko,Niko,male,97,105
Mirela,Mirela,female,97,78
Olta,Olta,female,96,57
Pandeli,Pandeli,male,100,5
Milva,Milva,female,98,179
Lindita,Lindita,female,96,56
Lefter,Lefter,male,100,15
Ditmir,Ditmir,male,100,12
Arben,Arben,male,95,586
Orgerta,Orgerta,female,75,4
Damian,Damian,male,100,5
Milena,Milena,female,100,8
Klajda,Klajda,female,75,4
Fatmir,Fatmir,male,96,299
Etilda,,,,
Bled,Bled,male,100,25
Sonila,Sonila,female,100,86
Ermonela,Ermonela,female,100,2
Blendi,Blendi,male,97,91
Edmond,Edmond,male,100,200
Eglantina,Eglantina,female,89,19
Gent,Gent,male,98,88
Floreta,Floreta,female,100,2
Besiana,Besiana,female,100,25
Abdelaziz,Abdelaziz,male,99,335
Ahmed,Ahmed,male,98,7102
Abdelkader,Abdelkader,male,98,1593
Said,Said,male,98,3699
Djamel,Djamel,male,98,5273
Azzedine,Azzedine,male,98,625
Mustapha,Mustapha,male,98,2682
Fatma Zohra,Fatma Zohra,female,96,27
Abderrahmane,Abderrahmane,male,99,646
Mokhtar,Mokhtar,male,98,893
Tahar,Tahar,male,97,1170
Abdelwahid,Abdelwahid,male,100,10
Youcef,Youcef,male,98,5049
Nouredine,Nouredine,male,99,244
Tayeb,Tayeb,male,98,723
Mourad,Mourad,male,98,5302
Ahmad,Ahmad,male,94,194
Nouria,Nouria,female,100,46
Ghania,Ghania,female,98,152
Iman Houda,Iman Houda,female,96,1081
Abdelghani,Abdelghani,male,98,468
Mahdjoub,Mahdjoub,male,93,15
Mohamed,Mohamed,male,98,16231
Hocine,Hocine,male,98,2412
Madjid,Madjid,male,98,1236
Sabri,Sabri,male,94,411
Emmanuel,Emmanuel,male,100,2
Joan-Enric  i,Joan-Enric,male,98,99
Antoni  Petit,Antoni Petit,male,100,9
Eva  Garcia,Eva,female,100,39
