Country,Year,Month,Branch,Position,Name,Status,Gender,File,CIA Updated,Created,First Name,ga_first_name,ga_gender,ga_accuracy,ga_samples
Afghanistan,2020,January,NA,Pres.,Ashraf GHANI,Titular,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Ashraf,Ashraf,male,100,16
Afghanistan,2020,January,NA,CEO,"Abdullah ABDULLAH, Dr.",Titular,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Abdullah,Abdullah,male,99,154
Afghanistan,2020,January,NA,First Vice Pres.,Abdul Rashid DOSTAM,Titular,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Abdul Rashid,Abdul Rashid,male,100,2
Afghanistan,2020,January,NA,Second Vice Pres.,Sarwar DANESH,Titular,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Sarwar,Sarwar,male,100,10
Afghanistan,2020,January,NA,First Deputy CEO,Khyal Mohammad KHAN,Titular,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Khyal Mohammad,Mohammad,male,98,365
Afghanistan,2020,January,NA,"Min. of Agriculture, Irrigation, & Livestock",Nasir Ahmad DURRANI,Titular,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Nasir Ahmad,Nasir Ahmad,male,100,14
Afghanistan,2020,January,NA,Min. of Border & Tribal Affairs,Gul Agha SHERZAI,Titular,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Gul Agha,Gul Agha,male,92,24
Afghanistan,2020,January,NA,Min. of Commerce & Industry,Ajmal AHMADY (Acting),Acting,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Ajmal,Ajmal,male,98,119
Afghanistan,2020,January,NA,Min. of Counternarcotics,Salamat AZIMI,Titular,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Salamat,Salamat,male,75,4
Afghanistan,2020,January,NA,Min. of Defense,Asadullah KHALID (Acting),Acting,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Asadullah,Asadullah,male,98,56
Afghanistan,2020,January,NA,Min. of Economy,Mohammad Mustafa MASTOOR,Titular,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Mohammad Mustafa,Mohammad Mustafa,male,100,10
Afghanistan,2020,January,NA,Min. of Education,Mohammad Mirwais BALKHI (Acting),Acting,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Mohammad Mirwais,Mohammad Mirwais,male,99,457
Afghanistan,2020,January,NA,Min. of Energy & Water,Tahir SHARAN (Acting),Acting,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Tahir,Tahir,male,100,16
Afghanistan,2020,January,NA,Min. of Finance,Mohammad Humayun QAYOUMI (Acting),Acting,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Mohammad Humayun,Mohammad Humayun,male,98,373
Afghanistan,2020,January,NA,Min. of Foreign Affairs,Salahuddin RABBANI,Titular,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Salahuddin,Salahuddin,male,100,9
Afghanistan,2020,January,NA,Min. of Hajj & Islamic Affairs,Faiz Mohammad OSMANI,Titular,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Faiz Mohammad,Faiz Mohammad,male,98,377
Afghanistan,2020,January,NA,Min. of Higher Education,Abdul Tawab BALAKARZAI (Acting),Acting,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Abdul Tawab,Abdul Tawab,male,98,213
Afghanistan,2020,January,NA,Min. of Information & Culture,Hasina SAFI (Acting),Acting,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Hasina,Hasina,female,100,6
